Registrirano brezposelne osebe glede na trajanje brezposelnosti po:;;;;;;;
KOHEZIJSKA / STATISTIÈNA REGIJA, MERITVE , LETO;;;;;;;
;;;;;;;
 ;Registrirano brezposelne osebe - SKUPAJ; ; ; ; ; ; 
 ;2010;2011;2012;2013;2014;2015;2016
Vzhodna Slovenija;63290;67301;65901;70307;69974;66853;61325
Pomurska;10179;9665;8790;8842;9094;9233;8300
Podravska;19467;20830;19668;20375;20061;18828;17149
Koroška;4245;4303;3889;4368;4050;3517;3219
Savinjska;14332;15358;15232;16499;16583;15361;14479
Zasavska;2339;2586;2825;3173;3374;3956;3585
Posavska;3982;4367;4493;4750;4695;4658;4382
Jugovzhodna Slovenija;6653;7735;8470;9328;9224;8613;7754
Primorsko-notranjska;2094;2457;2534;2973;2893;2686;2457
Zahodna Slovenija;36760;42318;43030;48472;49227;45147;41291
Osrednjeslovenska;20879;24255;24575;27958;28899;26664;24845
Gorenjska;7322;7963;7991;8740;8549;7751;6920
Goriška;4528;5228;5323;5962;5722;5206;4408
Obalno-kraška;4031;4873;5142;5812;6056;5525;5119
;;;;;;;
Zaradi zaokroževanja na cela števila se vsote ne ujemajo vedno.;;;;;;;
;;;;;;;
Povezane vsebine: ;;;;;;;
- (seznam HREF=http://www.stat.si/statweb/File/DocSysFile/8138 ;;;;;;;
target=_blank) Metodološka pojasnila;;;;;;;
;;;;;;;
Vir: Statistièni urad Republike Slovenije.;;;;;;;
