Hitrorastoèa podjetja po: KOHEZIJSKA IN STATISTIÈNA REGIJA, KAZALNIK ,;;;;;;;;;
LETO;;;;;;;;;
;;;;;;;;;
 ;V11960 Število hitrorastoèih podjetij; ; ; ; ; ; ; ; 
 ;2008;2009;2010;2011;2012;2013;2014;2015;2016
Pomurska;44;29;22;16;28;23;15;19;28
Podravska;164;133;89;77;79;83;77;109;131
Koroška;29;15;12;13;12;20;18;21;33
Savinjska;153;107;61;70;74;84;74;68;95
Zasavska;11;14;6;8;10;10;6;13;11
Posavska;33;29;21;15;17;15;14;15;22
Jugovzhodna Slovenija;68;49;28;24;32;37;31;46;55
Primorsko-notranjska;23;18;8;12;16;14;8;10;22
Osrednjeslovenska;454;379;244;180;187;184;191;204;259
Gorenjska;73;61;41;30;46;48;50;57;67
Goriška;68;48;35;25;20;21;24;24;37
Obalno-kraška;61;45;39;26;25;31;24;42;47
;;;;;;;;;
Vir: Statistièni urad Republike Slovenije ;;;;;;;;;
 ;;;;;;;;;
HITRORASTOÈE PODJETJE je podjetje z veè kot 10-odstotno povpreèno ;;;;;;;;;
letno rastjo v triletnem obdobju, ki ima v prvem letu spremljanja ;;;;;;;;;
triletne rasti vsaj 10 zaposlenih. Rast se meri s številom ;;;;;;;;;
zaposlenih. ;;;;;;;;;
 ;;;;;;;;;
ZAPOSLENE OSEBE so osebe, ki delajo pri delodajalcu (pri pravnih ;;;;;;;;;
osebah, samostojnih podjetnikih ali drugih registriranih fiziènih ;;;;;;;;;
osebah) in prejemajo plaèo ter so na podlagi pogodbe o zaposlitvi ;;;;;;;;;
obvezno socialno zavarovane. Pogodba o zaposlitvi je lahko sklenjena ;;;;;;;;;
za nedoloèen ali doloèen èas, ne glede na to, ali gre za zaposlitev s ;;;;;;;;;
polnim delovnim èasom ali z delovnim èasom, krajšim od polnega. Med ;;;;;;;;;
zaposlene osebe se štejejo tudi pripravniki in osebe, udeležene pri ;;;;;;;;;
javnih delih, ter družbeniki zasebnih družb in zavodov v RS, ki so ;;;;;;;;;
poslovodne osebe (èe niso obvezno zavarovani na drugi podlagi). V ;;;;;;;;;
število zaposlenih oseb niso zajeti študenti in dijaki, ki obèasno ;;;;;;;;;
delajo za delodajalca in prejemajo plaèilo. Od leta 2013 so med ;;;;;;;;;
zaposlene osebe vkljuèeni tudi detaširani delavci v delovnem razmerju ;;;;;;;;;
pri delodajalcu s sedežem v RS, poslani na delo ali na strokovno ;;;;;;;;;
izpopolnjevanje v tujino. ;;;;;;;;;
 ;;;;;;;;;
;;;;;;;;;
Povezane vsebine: ;;;;;;;;;
- (seznam HREF= ;;;;;;;;;
http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatoteke=8288;;;;;;;;;
target=_blank) Metodološka pojasnila;;;;;;;;;
;;;;;;;;;
Podatki so teritorialno razvršèeni po Klasifikaciji statistiènih ;;;;;;;;;
teritorialnih enot v Evropski uniji (The Classification  of ;;;;;;;;;
Territorial Units for Statistics) – NUTS ((seznam ;;;;;;;;;
HREF=http://www.stat.si/StatWeb/glavnanavigacija/metode-in-klasifikac-;;;;;;;;;
ije/klasifikacije TARGET=_blank) opis in pojasnila), raven NUTS 3. ;;;;;;;;;
Podatki o spremembah posameznih statistiènih regij so dostopni tudi ;;;;;;;;;
na (seznam HREF=http://www.stat.si/dokument/8484 TARGET=_blank) ;;;;;;;;;
povezavi. ;;;;;;;;;
 ;;;;;;;;;
Podatki so teritorialno razvršèeni po Klasifikaciji statistiènih ;;;;;;;;;
teritorialnih enot v Evropski uniji (The Classification  of ;;;;;;;;;
Territorial Units for Statistics) – NUTS ((seznam ;;;;;;;;;
HREF=http://www.stat.si/StatWeb/glavnanavigacija/metode-in-klasifikac-;;;;;;;;;
ije/klasifikacije TARGET=_blank) opis in pojasnila), raven NUTS 2. ;;;;;;;;;
Podatki o spremembah posameznih kohezijskih regij so dostopni tudi na ;;;;;;;;;
(seznam HREF=http://www.stat.si/dokument/8483 TARGET=_blank) ;;;;;;;;;
povezavi. ;;;;;;;;;
