Osnovni kazalniki demografije podjetij po: KOHEZIJSKA IN STATISTIÈNA;;;;;;;;;;;
REGIJA, KAZALNIK , LETO (t);;;;;;;;;;;
;;;;;;;;;;;
 ;V11930 Število podjetij, ki so prenehala poslovati; ; ; ; ; ; ; ; ; ; 
 ;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Pomurska;...;...;385;370;427;445;494;482;469;530;398
Podravska;...;...;1224;1535;1851;1884;2064;2139;1910;2126;1741
Koroška;...;...;225;283;281;284;363;311;341;349;300
Savinjska;...;...;869;1152;1224;1248;1394;1551;1472;1537;1383
Zasavska;...;...;135;150;185;186;225;228;171;274;234
Posavska;...;...;223;290;336;319;336;400;386;459;347
Jugovzhodna Slovenija;...;...;361;486;522;520;594;609;611;654;582
Primorsko-notranjska;...;...;208;219;275;242;292;307;277;295;266
Osrednjeslovenska;...;...;2947;3204;3905;3892;4566;4677;4432;4898;3962
Gorenjska;...;...;799;1039;1259;1242;1305;1358;1249;1420;1192
Goriška;...;...;523;669;804;759;835;870;815;912;762
Obalno-kraška;...;...;688;922;991;1017;1203;1301;1098;1337;1362
;;;;;;;;;;;
Vir: Statistièni urad Republike Slovenije. ;;;;;;;;;;;
 ;;;;;;;;;;;
Podatki za podjetja, ki so prenehala poslovati in so brez naslednika ;;;;;;;;;;;
v 2016 so zaèasni. Konèni podatki bodo objavljeni v juniju 2019. ;;;;;;;;;;;
Podrobnejša pojasnila o revidiranju podatkov so objavljena v (seznam ;;;;;;;;;;;
HREF=http://www.stat.si/dokument/5296/RevidiranjeStatisticnihPodatkov-;;;;;;;;;;;
MPsplosna.pdf target=_blank) Metodoloških pojasnilih o revidiranju ;;;;;;;;;;;
statistiènih podatkov. ;;;;;;;;;;;
 ;;;;;;;;;;;
PODJETJE je registrirana pravna ali fizièna oseba, ki je med letom ;;;;;;;;;;;
opazovanja izkazala prihodek ali zaposlene osebe oziroma osebe, ki ;;;;;;;;;;;
delajo. Za enote po Standardni klasifikaciji institucionalnih ;;;;;;;;;;;
sektorjev države in neprofitnih institucij, ki opravljajo storitve za ;;;;;;;;;;;
gospodinjstva,se upoštevajo tudi izkazani prihodki èlanarin, ;;;;;;;;;;;
subvencij in drugih poslovnih prihodkov. V podatku o aktivnih ;;;;;;;;;;;
podjetjih se upoštevajo vse enote, ki so bile aktivne vsaj del ;;;;;;;;;;;
opazovanega obdobja. ;;;;;;;;;;;
 ;;;;;;;;;;;
OSEBE, KI DELAJO so vse osebe, ki delajo pri opazovani enoti (plaèane ;;;;;;;;;;;
in neplaèane), in tudi vse tiste osebe, ki delajo zunaj enote, ki ji ;;;;;;;;;;;
pripadajo in ki jih plaèuje (npr. prodajni zastopniki). Med osebe, ki ;;;;;;;;;;;
delajo, se štejejo tudi delavci s krajšim delovnim èasom, sezonski ;;;;;;;;;;;
delavci in delavci na domu, ki so na plaèilnem seznamu opazovane ;;;;;;;;;;;
enote. Med osebe, ki delajo, pa se ne štejejo delavci, ki jih enoti ;;;;;;;;;;;
posredujejo druga podjetja, in prostovoljni delavci. ;;;;;;;;;;;
 ;;;;;;;;;;;
ZAPOSLENE OSEBE so osebe, ki delajo pri delodajalcu (pri pravnih ;;;;;;;;;;;
osebah, samostojnih podjetnikih ali drugih registriranih fiziènih ;;;;;;;;;;;
osebah) in prejemajo plaèo ter so na podlagi pogodbe o zaposlitvi ;;;;;;;;;;;
obvezno socialno zavarovane. Pogodba o zaposlitvi je lahko sklenjena ;;;;;;;;;;;
za nedoloèen ali doloèen èas, ne glede na to, ali gre za zaposlitev s ;;;;;;;;;;;
polnim delovnim èasom ali z delovnim èasom, krajšim od polnega. Med ;;;;;;;;;;;
zaposlene osebe se štejejo tudi pripravniki in osebe, udeležene pri ;;;;;;;;;;;
javnih delih, ter družbeniki zasebnih družb in zavodov v RS, ki so ;;;;;;;;;;;
poslovodne osebe (èe niso obvezno zavarovani na drugi podlagi). V ;;;;;;;;;;;
število zaposlenih oseb niso zajeti študenti in dijaki, ki obèasno ;;;;;;;;;;;
delajo za delodajalca in prejemajo plaèilo. ;;;;;;;;;;;
 ;;;;;;;;;;;
NOVONASTALO PODJETJE BREZ PREDHODNIKA je podjetje, ki je nastalo kot ;;;;;;;;;;;
kombinacija proizvodnih dejavnikov, vendar tako, da pri tem dogodku ;;;;;;;;;;;
ni bilo udeleženo nobeno drugo podjetje. Med novonastala podjetja ne ;;;;;;;;;;;
štejemo podjetij, ki so nastala s spojitvijo, z razdelitvijo, z ;;;;;;;;;;;
oddelitvijo, podjetij, ki so nastala zaradi spremembe ;;;;;;;;;;;
pravnoorganizacijske oblike, in tistih, ki so po dveh letih ;;;;;;;;;;;
prenehanja poslovanja znova oživela (reaktivacije). ;;;;;;;;;;;
 ;;;;;;;;;;;
PODJETJE, KI JE PRENEHALO POSLOVATI IN JE BREZ NASLEDNIKA je ;;;;;;;;;;;
podjetje, ki je kot kombinacija proizvodnih dejavnikov razpadlo, ;;;;;;;;;;;
vendar tako, da pri tem dogodku ni bilo udeleženo nobeno drugo ;;;;;;;;;;;
podjetje. Med podjetja, ki so prenehala poslovati, ne štejemo ;;;;;;;;;;;
