Osnovni kazalniki demografije podjetij po: KOHEZIJSKA IN STATISTIÈNA;;;;;;;;;;;
REGIJA, KAZALNIK , LETO (t);;;;;;;;;;;
;;;;;;;;;;;
 ;V16911 Število zaposlenih v podjetjih; ; ; ; ; ; ; ; ; ; 
 ;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Pomurska;24250;24949;25440;23993;21805;22253;21249;20469;20027;20027;20394
Podravska;85003;88011;90953;86348;84389;82396;79767;80633;80909;82755;83259
Koroška;17827;19859;18845;17270;15887;15399;15377;14854;14947;15228;15486
Savinjska;75609;78934;82496;78256;74567;72372;71180;69116;69763;69662;70936
Zasavska;9814;9999;9979;9158;8723;7997;7837;7410;7176;9081;9329
Posavska;13440;13936;14633;14454;13664;12910;12934;12876;12794;13852;14368
Jugovzhodna Slovenija;35978;37527;38237;36484;35701;34250;32560;31451;31794;32386;33488
Primorsko-notranjska;10574;11117;11615;11792;11365;10815;10533;10163;10330;10563;10945
Osrednjeslovenska;210352;221139;229018;225628;219145;208305;206686;204768;206804;208356;214422
Gorenjska;52094;54022;54531;51717;51305;49980;49481;46746;48709;48381;50211
Goriška;31942;33160;34430;32225;30725;29728;28971;27527;27640;28361;29040
Obalno-kraška;29149;30300;31166;30422;29445;28679;27672;26247;26342;27192;28843
;;;;;;;;;;;
Vir: Statistièni urad Republike Slovenije. ;;;;;;;;;;;
 ;;;;;;;;;;;
Podatki za podjetja, ki so prenehala poslovati in so brez naslednika ;;;;;;;;;;;
v 2016 so zaèasni. Konèni podatki bodo objavljeni v juniju 2019. ;;;;;;;;;;;
Podrobnejša pojasnila o revidiranju podatkov so objavljena v (seznam ;;;;;;;;;;;
HREF=http://www.stat.si/dokument/5296/RevidiranjeStatisticnihPodatkov-;;;;;;;;;;;
MPsplosna.pdf target=_blank) Metodoloških pojasnilih o revidiranju ;;;;;;;;;;;
statistiènih podatkov. ;;;;;;;;;;;
 ;;;;;;;;;;;
PODJETJE je registrirana pravna ali fizièna oseba, ki je med letom ;;;;;;;;;;;
opazovanja izkazala prihodek ali zaposlene osebe oziroma osebe, ki ;;;;;;;;;;;
delajo. Za enote po Standardni klasifikaciji institucionalnih ;;;;;;;;;;;
sektorjev države in neprofitnih institucij, ki opravljajo storitve za ;;;;;;;;;;;
gospodinjstva,se upoštevajo tudi izkazani prihodki èlanarin, ;;;;;;;;;;;
subvencij in drugih poslovnih prihodkov. V podatku o aktivnih ;;;;;;;;;;;
podjetjih se upoštevajo vse enote, ki so bile aktivne vsaj del ;;;;;;;;;;;
opazovanega obdobja. ;;;;;;;;;;;
 ;;;;;;;;;;;
OSEBE, KI DELAJO so vse osebe, ki delajo pri opazovani enoti (plaèane ;;;;;;;;;;;
in neplaèane), in tudi vse tiste osebe, ki delajo zunaj enote, ki ji ;;;;;;;;;;;
pripadajo in ki jih plaèuje (npr. prodajni zastopniki). Med osebe, ki ;;;;;;;;;;;
delajo, se štejejo tudi delavci s krajšim delovnim èasom, sezonski ;;;;;;;;;;;
delavci in delavci na domu, ki so na plaèilnem seznamu opazovane ;;;;;;;;;;;
enote. Med osebe, ki delajo, pa se ne štejejo delavci, ki jih enoti ;;;;;;;;;;;
posredujejo druga podjetja, in prostovoljni delavci. ;;;;;;;;;;;
 ;;;;;;;;;;;
ZAPOSLENE OSEBE so osebe, ki delajo pri delodajalcu (pri pravnih ;;;;;;;;;;;
osebah, samostojnih podjetnikih ali drugih registriranih fiziènih ;;;;;;;;;;;
osebah) in prejemajo plaèo ter so na podlagi pogodbe o zaposlitvi ;;;;;;;;;;;
obvezno socialno zavarovane. Pogodba o zaposlitvi je lahko sklenjena ;;;;;;;;;;;
za nedoloèen ali doloèen èas, ne glede na to, ali gre za zaposlitev s ;;;;;;;;;;;
polnim delovnim èasom ali z delovnim èasom, krajšim od polnega. Med ;;;;;;;;;;;
zaposlene osebe se štejejo tudi pripravniki in osebe, udeležene pri ;;;;;;;;;;;
javnih delih, ter družbeniki zasebnih družb in zavodov v RS, ki so ;;;;;;;;;;;
poslovodne osebe (èe niso obvezno zavarovani na drugi podlagi). V ;;;;;;;;;;;
število zaposlenih oseb niso zajeti študenti in dijaki, ki obèasno ;;;;;;;;;;;
delajo za delodajalca in prejemajo plaèilo. ;;;;;;;;;;;
 ;;;;;;;;;;;
NOVONASTALO PODJETJE BREZ PREDHODNIKA je podjetje, ki je nastalo kot ;;;;;;;;;;;
kombinacija proizvodnih dejavnikov, vendar tako, da pri tem dogodku ;;;;;;;;;;;
ni bilo udeleženo nobeno drugo podjetje. Med novonastala podjetja ne ;;;;;;;;;;;
štejemo podjetij, ki so nastala s spojitvijo, z razdelitvijo, z ;;;;;;;;;;;
oddelitvijo, podjetij, ki so nastala zaradi spremembe ;;;;;;;;;;;
pravnoorganizacijske oblike, in tistih, ki so po dveh letih ;;;;;;;;;;;
prenehanja poslovanja znova oživela (reaktivacije). ;;;;;;;;;;;
 ;;;;;;;;;;;
PODJETJE, KI JE PRENEHALO POSLOVATI IN JE BREZ NASLEDNIKA je ;;;;;;;;;;;
podjetje, ki je kot kombinacija proizvodnih dejavnikov razpadlo, ;;;;;;;;;;;
vendar tako, da pri tem dogodku ni bilo udeleženo nobeno drugo ;;;;;;;;;;;
podjetje. Med podjetja, ki so prenehala poslovati, ne štejemo ;;;;;;;;;;;
podjetij, ki so prenehala obstajati zaradi spojitev, pripojitev ali z ;;;;;;;;;;;
razdelitvijo podjetij, podjetij, ki so nastala zaradi spremembe ;;;;;;;;;;;
pravnoorganizacijske oblike, in tistih, ki so v dveh letih po letu ;;;;;;;;;;;
opazovanja znova oživela (reaktivacije). ;;;;;;;;;;;
 ;;;;;;;;;;;
PREŽIVELO PODJETJE je novonastalo podjetje, ki je poslovalo v ;;;;;;;;;;;
naslednjih najveè petih letih od nastanka. Podjetje štejemo za ;;;;;;;;;;;
preživelo tudi, èe je pravna enota prenehala poslovati in je ;;;;;;;;;;;
dejavnost prevzela nova pravna enota, ki je bila ustanovljena za ;;;;;;;;;;;
prevzem proizvodnih dejavnikov podjetja. ;;;;;;;;;;;
 ;;;;;;;;;;;
