Aktivno prebivalstvo - izbrani kazalniki po: KOHEZIJSKA IN STATISTIÈNA;;;;;;;;;;;
REGIJA, KAZALNIK , LETO;;;;;;;;;;;
;;;;;;;;;;;
 ;Stopnja registrirane brezposelnosti; ; ; ; ; ; ; ; ; ; 
 ;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Vzhodna Slovenija;11.jun;9.maj;8.mar;11.jan;12.avg;13.jun;13.jun;14.jul;14.jun;13.avg;12.jul
Pomurska;15.jul;13.apr;12.feb;15.sep;19.0;18.0;17.mar;17.avg;18.apr;18.sep;17.apr
Podravska;12.jul;10.apr;9.jan;11.sep;13.maj;14.maj;14.jan;14.jul;14.apr;13.jun;12.maj
Koroška;10.jan;8.jan;7.mar;10.sep;13.jan;13.mar;12.feb;13.sep;13.0;11.maj;10.jun
Savinjska;11.jun;9.apr;8.0;10.mar;11.avg;12.jul;12.jul;13.sep;13.sep;13.mar;12.apr
Zasavska;12.0;9.jul;8.feb;11.0;11.sep;13.mar;14.jul;16.jun;17.jul;15.feb;13.sep
Posavska;10.maj;8.sep;7.jul;10.feb;12.feb;13.apr;13.sep;14.avg;14.jul;13.jun;12.avg
Jugovzhodna Slovenija;8.jun;7.0;6.mar;8.sep;10.0;11.jun;12.avg;14.jan;13.sep;13.0;11.jul
Primorsko-notranjska;7.0;5.apr;4.sep;7.jan;8.maj;10.0;10.apr;12.mar;11.sep;11.jan;10.jan
Zahodna Slovenija;6.sep;5.jun;4.avg;6.sep;8.mar;9.jun;9.sep;11.feb;11.mar;10.apr;9.apr
Osrednjeslovenska;7.feb;5.sep;5.0;6.avg;8.maj;9.sep;10.jan;11.maj;11.jul;11.0;10.jan
Gorenjska;6.apr;4.sep;4.apr;6.sep;8.jan;8.avg;8.sep;9.avg;9.maj;8.jun;7.jun
Goriška;6.feb;4.sep;4.mar;7.jan;8.jun;10.0;10.mar;11.jul;11.feb;10.mar;8.jul
Obalno-kraška;7.feb;6.mar;5.feb;6.sep;7.sep;9.jun;10.feb;11.jul;12.jan;11.0;10.jan
;;;;;;;;;;;
Vir: Statistièni urad Republike Slovenije.;;;;;;;;;;;
;;;;;;;;;;;
Povezane vsebine: ;;;;;;;;;;;
- (seznam HREF=http://www.stat.si/statweb/File/DocSysFile/8138 ;;;;;;;;;;;
target=_blank) Metodološka pojasnila;;;;;;;;;;;
;;;;;;;;;;;
% registrirano brezposelnih med aktivnim prebivalstvom v kohezijski, ;;;;;;;;;;;
statistièni regiji;;;;;;;;;;;
